MUNICIPIO;DIA_1704;DIA_2004
Yecla;16;20
Jumilla;5;7
Cieza;19;22
Abanilla;19;20
Fortuna;0;0
Abarán;0;0
Calasparra;8;8
Moratalla;0;0
Blanca;0;0
Ulea;0;0
Ricote;0;0
Ojós;0;0
Villanueva del Río Segura;0;0
Lorquí;5;0
Ceutí;0;0
Alguazas;6;6
Molina de Segura;29;37
Santomera;7;8
Beniel;0;0
Las Torres de Cotillas;6;6
Campos del Río;0;0
Albudeite;0;0
Bullas;6;6
Cehegín;7;7
Caravaca de la Cruz;11;11
Mula;9;9
Murcia;247;277
Pliego;0;0
Alhama de Murcia;7;7
Librilla;0;0
Totana;5;6
Aledo;0;0
Lorca;15;16
Puerto Lumbreras;0;0
Mazarrón;18;7
Águilas;5;5
Fuente Álamo;0;0
Cartagena;76;88
La Unión;0;0
Alcantarilla;15;17
Torre-Pacheco;6;7
San Javier;6;6
San Pedro del Pinatar;7;7
Los Alcázares;0;0
Archena;9;10
